,date,temperature,humidity,light_intensity,air_pressure
0,2021-07-01 01:00:00,13.3,13.3,13.3,13.3
1,2021-07-01 02:00:00,13.4,13.4,13.4,13.4
2,2021-07-01 03:00:00,13.4,13.4,13.4,13.4
3,2021-07-01 04:00:00,13.5,13.5,13.5,13.5
4,2021-07-01 05:00:00,13.7,13.7,13.7,13.7
5,2021-07-01 06:00:00,13.9,13.9,13.9,13.9
6,2021-07-01 07:00:00,14.2,14.2,14.2,14.2
7,2021-07-01 08:00:00,14.7,14.7,14.7,14.7
8,2021-07-01 09:00:00,15.7,15.7,15.7,15.7
9,2021-07-01 10:00:00,16.8,16.8,16.8,16.8
10,2021-07-01 11:00:00,18.0,18.0,18.0,18.0
11,2021-07-01 12:00:00,18.3,18.3,18.3,18.3
12,2021-07-01 13:00:00,18.8,18.8,18.8,18.8
13,2021-07-01 14:00:00,20.2,20.2,20.2,20.2
14,2021-07-01 15:00:00,19.6,19.6,19.6,19.6
15,2021-07-01 16:00:00,19.6,19.6,19.6,19.6
16,2021-07-01 17:00:00,17.5,17.5,17.5,17.5
17,2021-07-01 18:00:00,16.8,16.8,16.8,16.8
18,2021-07-01 19:00:00,16.5,16.5,16.5,16.5
19,2021-07-01 20:00:00,15.8,15.8,15.8,15.8
20,2021-07-01 21:00:00,15.3,15.3,15.3,15.3
21,2021-07-01 22:00:00,15.0,15.0,15.0,15.0
22,2021-07-01 23:00:00,14.9,14.9,14.9,14.9
23,2021-07-01 00:00:00,15.1,15.1,15.1,15.1
24,2021-07-02 01:00:00,14.9,14.9,14.9,14.9
25,2021-07-02 02:00:00,14.8,14.8,14.8,14.8
26,2021-07-02 03:00:00,14.5,14.5,14.5,14.5
27,2021-07-02 04:00:00,14.1,14.1,14.1,14.1
28,2021-07-02 05:00:00,14.5,14.5,14.5,14.5
29,2021-07-02 06:00:00,14.9,14.9,14.9,14.9
30,2021-07-02 07:00:00,15.1,15.1,15.1,15.1
31,2021-07-02 08:00:00,16.2,16.2,16.2,16.2
32,2021-07-02 09:00:00,16.8,16.8,16.8,16.8
33,2021-07-02 10:00:00,17.3,17.3,17.3,17.3
34,2021-07-02 11:00:00,17.9,17.9,17.9,17.9
35,2021-07-02 12:00:00,18.0,18.0,18.0,18.0
36,2021-07-02 13:00:00,18.7,18.7,18.7,18.7
37,2021-07-02 14:00:00,20.5,20.5,20.5,20.5
38,2021-07-02 15:00:00,19.9,19.9,19.9,19.9
39,2021-07-02 16:00:00,20.3,20.3,20.3,20.3
40,2021-07-02 17:00:00,21.1,21.1,21.1,21.1
41,2021-07-02 18:00:00,20.3,20.3,20.3,20.3
42,2021-07-02 19:00:00,18.0,18.0,18.0,18.0
43,2021-07-02 20:00:00,16.6,16.6,16.6,16.6
44,2021-07-02 21:00:00,14.8,14.8,14.8,14.8
45,2021-07-02 22:00:00,13.0,13.0,13.0,13.0
46,2021-07-02 23:00:00,12.4,12.4,12.4,12.4
47,2021-07-02 00:00:00,12.2,12.2,12.2,12.2
48,2021-07-03 01:00:00,11.7,11.7,11.7,11.7
49,2021-07-03 02:00:00,11.0,11.0,11.0,11.0
50,2021-07-03 03:00:00,10.8,10.8,10.8,10.8
51,2021-07-03 04:00:00,11.3,11.3,11.3,11.3
52,2021-07-03 05:00:00,12.9,12.9,12.9,12.9
53,2021-07-03 06:00:00,16.1,16.1,16.1,16.1
54,2021-07-03 07:00:00,16.4,16.4,16.4,16.4
55,2021-07-03 08:00:00,18.6,18.6,18.6,18.6
56,2021-07-03 09:00:00,19.9,19.9,19.9,19.9
57,2021-07-03 10:00:00,20.8,20.8,20.8,20.8
58,2021-07-03 11:00:00,22.1,22.1,22.1,22.1
59,2021-07-03 12:00:00,22.7,22.7,22.7,22.7
60,2021-07-03 13:00:00,23.3,23.3,23.3,23.3
61,2021-07-03 14:00:00,23.5,23.5,23.5,23.5
62,2021-07-03 15:00:00,23.8,23.8,23.8,23.8
63,2021-07-03 16:00:00,24.0,24.0,24.0,24.0
64,2021-07-03 17:00:00,23.5,23.5,23.5,23.5
65,2021-07-03 18:00:00,22.1,22.1,22.1,22.1
66,2021-07-03 19:00:00,21.2,21.2,21.2,21.2
